WKT,nombre,descripción
"POINT (-76.9157051 -12.0861252)",Punto 66 Bus,
"POINT (-76.9647949 -12.0544338)",Punto 67 Bus,
"POINT (-76.9300335 -12.0782712)",Punto 68 Bus,
"POINT (-76.8907271 -12.0865191)",Punto 69 Bus,
"POINT (-76.9555322 -12.0734423)",Punto 70 Bus,
"LINESTRING (-76.9709801 -12.0404644, -76.9647949 -12.0544338, -76.9555322 -12.0734423, -76.9513249 -12.0796626, -76.9300335 -12.0782712, -76.9157051 -12.0861252, -76.8907271 -12.0865191)",Línea 92,
"LINESTRING (-76.9736201 -12.0583439, -76.9647949 -12.0544338, -76.9379709 -12.0440887)",Línea 93,
"POINT (-76.9871358 -12.0641405)",Punto 71 Bus,
"LINESTRING (-77.0354078 -12.0597171, -76.9871358 -12.0641405, -76.9736201 -12.0583439)",Línea 95,
"POINT (-76.9787611 -12.1309077)",Punto 72 Bus,
"POINT (-76.972711 -12.1923362)",Punto 73 Bus,
"LINESTRING (-76.9773878 -12.1094248, -76.9787611 -12.1309077, -76.972711 -12.1923362, -76.9777916 -12.2184027)",Línea 100,
"LINESTRING (-77.1264859 -12.0442074, -77.1262207 -11.9965425, -77.1308986 -11.8624129, -77.1207491 -11.84954, -77.1102551 -11.8364007)",Line 88,
