speed,origin_lat,origin_lon,destination_lat,destination_lon,distance
20,-77.0287818,-11.8758974,-77.0609319,-11.9417412,8.114198257783107
20,-77.0609319,-11.9417412,-77.0287818,-11.8758974,8.114198257783107
20,-77.0609319,-11.9417412,-77.0622622,-11.9614111,2.19197544428243
20,-77.0622622,-11.9614111,-77.0609319,-11.9417412,2.19197544428243
20,-77.0622622,-11.9614111,-77.0505117,-12.0229069,6.956437405462889
20,-77.0505117,-12.0229069,-77.0622622,-11.9614111,6.956437405462889
20,-77.0505117,-12.0229069,-77.0448469,-12.027608,0.8079624106305734
20,-77.0448469,-12.027608,-77.0505117,-12.0229069,0.8079624106305734
20,-77.0448469,-12.027608,-77.0437495,-12.0366048,1.007492088301684
20,-77.0437495,-12.0366048,-77.0448469,-12.027608,1.007492088301684
20,-77.0437495,-12.0366048,-77.0427886,-12.0465262,1.108147243768663
20,-77.0427886,-12.0465262,-77.0437495,-12.0366048,1.108147243768663
20,-77.0427886,-12.0465262,-77.0414159,-12.0603046,1.5393428315206654
20,-77.0414159,-12.0603046,-77.0427886,-12.0465262,1.5393428315206654
20,-77.0414159,-12.0603046,-77.0354078,-12.0597171,0.6565834125269635
20,-77.0354078,-12.0597171,-77.0414159,-12.0603046,0.6565834125269635
20,-77.0354078,-12.0597171,-77.0227628,-12.0906336,3.702521478898474
20,-77.0227628,-12.0906336,-77.0354078,-12.0597171,3.702521478898474
20,-77.0227628,-12.0906336,-77.0270543,-12.1018354,1.3301095611630305
20,-77.0270543,-12.1018354,-77.0227628,-12.0906336,1.3301095611630305
20,-77.0270543,-12.1018354,-77.0254235,-12.1135005,1.3091617789981171
20,-77.0254235,-12.1135005,-77.0270543,-12.1018354,1.3091617789981171
20,-77.0254235,-12.1135005,-77.022211,-12.1314698,2.028388001525367
20,-77.022211,-12.1314698,-77.0254235,-12.1135005,2.028388001525367
20,-77.022211,-12.1314698,-77.0177647,-12.1339208,0.5549025698624277
20,-77.0177647,-12.1339208,-77.022211,-12.1314698,0.5549025698624277
