speed,origin_lat,origin_lon,destination_lat,destination_lon,distance
35,-77.139554,-12.0505766,-77.1266794,-12.0377336,1.9999042865894279
35,-77.1266794,-12.0377336,-77.139554,-12.0505766,1.9999042865894279
35,-77.1266794,-12.0377336,-77.0997286,-12.0394964,2.9374318434269133
35,-77.0997286,-12.0394964,-77.1266794,-12.0377336,2.9374318434269133
35,-77.0997286,-12.0394964,-77.0742285,-12.0349181,2.8194770617124125
35,-77.0742285,-12.0349181,-77.0997286,-12.0394964,2.8194770617124125
35,-77.0742285,-12.0349181,-77.0532858,-12.036597,2.285169535964359
35,-77.0532858,-12.036597,-77.0742285,-12.0349181,2.285169535964359
35,-77.0532858,-12.036597,-77.0437495,-12.0366048,1.0370754683464216
35,-77.0437495,-12.0366048,-77.0532858,-12.036597,1.0370754683464216
35,-77.0437495,-12.0366048,-77.0352613,-12.0401226,1.0025460605785423
35,-77.0352613,-12.0401226,-77.0437495,-12.0366048,1.0025460605785423
35,-77.0352613,-12.0401226,-77.0219874,-12.043133,1.4818170099222472
35,-77.0219874,-12.043133,-77.0352613,-12.0401226,1.4818170099222472
35,-77.0219874,-12.043133,-77.0123744,-12.0360818,1.3067582414186518
35,-77.0123744,-12.0360818,-77.0219874,-12.043133,1.3067582414186518
35,-77.0123744,-12.0360818,-76.9974221,-12.028741,1.8194654892722066
35,-76.9974221,-12.028741,-77.0123744,-12.0360818,1.8194654892722066
35,-76.9974221,-12.028741,-76.9895257,-12.031763,0.9221596763012118
35,-76.9895257,-12.031763,-76.9974221,-12.028741,0.9221596763012118
35,-76.9895257,-12.031763,-76.9471488,-12.01964,4.801784204871767
35,-76.9471488,-12.01964,-76.9895257,-12.031763,4.801784204871767
35,-76.9471488,-12.01964,-76.8370746,-11.992607,12.34355318529659
35,-76.8370746,-11.992607,-76.9471488,-12.01964,12.34355318529659
35,-77.139554,-12.0505766,-77.1277995,-12.0591429,1.5940994188990327
35,-77.1277995,-12.0591429,-77.139554,-12.0505766,1.5940994188990327
35,-77.1277995,-12.0591429,-77.1000842,-12.075156,3.5004077985931077
35,-77.1000842,-12.075156,-77.1277995,-12.0591429,3.5004077985931077
35,-77.1000842,-12.075156,-77.0931016,-12.0776424,0.8080187752746992
35,-77.0931016,-12.0776424,-77.1000842,-12.075156,0.8080187752746992
35,-77.0931016,-12.0776424,-77.0813197,-12.0782349,1.2827802243573792
35,-77.0813197,-12.0782349,-77.0931016,-12.0776424,1.2827802243573792
35,-77.0813197,-12.0782349,-77.0632753,-12.0863286,2.1585645800985866
35,-77.0632753,-12.0863286,-77.0813197,-12.0782349,2.1585645800985866
35,-77.0632753,-12.0863286,-77.0504225,-12.0944467,1.6636587029296621
35,-77.0504225,-12.0944467,-77.0632753,-12.0863286,1.6636587029296621
35,-77.0504225,-12.0944467,-77.0227628,-12.0906336,3.037113723184821
35,-77.0227628,-12.0906336,-77.0504225,-12.0944467,3.037113723184821
35,-77.0227628,-12.0906336,-76.9809682,-12.0848982,4.588838855107854
35,-76.9809682,-12.0848982,-77.0227628,-12.0906336,4.588838855107854
35,-76.9809682,-12.0848982,-76.9696424,-12.0830347,1.2487776537813846
35,-76.9696424,-12.0830347,-76.9809682,-12.0848982,1.2487776537813846
35,-76.9696424,-12.0830347,-76.9555322,-12.0734423,1.8685860282929694
35,-76.9555322,-12.0734423,-76.9696424,-12.0830347,1.8685860282929694
35,-76.9555322,-12.0734423,-76.9408033,-12.0638982,1.9212815149815523
35,-76.9408033,-12.0638982,-76.9555322,-12.0734423,1.9212815149815523
35,-76.9408033,-12.0638982,-76.9444082,-12.0565957,0.9016701070650841
35,-76.9444082,-12.0565957,-76.9408033,-12.0638982,0.9016701070650841
35,-76.9444082,-12.0565957,-76.9379709,-12.0440887,1.5569583120944932
35,-76.9379709,-12.0440887,-76.9444082,-12.0565957,1.5569583120944932
35,-76.9379709,-12.0440887,-76.9471488,-12.01964,2.896008841214152
35,-76.9471488,-12.01964,-76.9379709,-12.0440887,2.896008841214152
35,-77.0687422,-11.9622097,-77.0826953,-12.0062836,5.130418158394671
35,-77.0826953,-12.0062836,-77.0687422,-11.9622097,5.130418158394671
35,-77.0826953,-12.0062836,-77.1061175,-12.0215278,3.059813737263473
35,-77.1061175,-12.0215278,-77.0826953,-12.0062836,3.059813737263473
35,-77.1061175,-12.0215278,-77.0997286,-12.0394964,2.115380316446762
35,-77.0997286,-12.0394964,-77.1061175,-12.0215278,2.115380316446762
35,-77.0997286,-12.0394964,-77.0980162,-12.0534351,1.5610593398357575
35,-77.0980162,-12.0534351,-77.0997286,-12.0394964,1.5610593398357575
35,-77.0980162,-12.0534351,-77.1000842,-12.075156,2.4256996682753202
35,-77.1000842,-12.075156,-77.0980162,-12.0534351,2.4256996682753202
35,-76.9699092,-11.9349609,-77.0050451,-11.9822939,6.504609387753499
35,-77.0050451,-11.9822939,-76.9699092,-11.9349609,6.504609387753499
35,-77.0050451,-11.9822939,-76.9993299,-12.0034059,2.4284568681681624
35,-76.9993299,-12.0034059,-77.0050451,-11.9822939,2.4284568681681624
35,-76.9993299,-12.0034059,-76.9974221,-12.028741,2.82476533570618
35,-76.9974221,-12.028741,-76.9993299,-12.0034059,2.82476533570618
35,-76.9974221,-12.028741,-76.9871358,-12.0641405,4.092099946733223
35,-76.9871358,-12.0641405,-76.9974221,-12.028741,4.092099946733223
35,-76.9871358,-12.0641405,-76.9809682,-12.0848982,2.403603490694259
35,-76.9809682,-12.0848982,-76.9871358,-12.0641405,2.403603490694259
35,-76.9809682,-12.0848982,-76.9773878,-12.1094248,2.7548761405386823
35,-76.9773878,-12.1094248,-76.9809682,-12.0848982,2.7548761405386823
35,-76.9773878,-12.1094248,-76.9787611,-12.1309077,2.393450595651138
35,-76.9787611,-12.1309077,-76.9773878,-12.1094248,2.393450595651138
35,-76.9787611,-12.1309077,-76.955292,-12.1475722,3.1532091033704175
35,-76.955292,-12.1475722,-76.9787611,-12.1309077,3.1532091033704175
35,-76.955292,-12.1475722,-76.9275758,-12.1616628,3.3958679490798156
35,-76.9275758,-12.1616628,-76.955292,-12.1475722,3.3958679490798156
35,-76.9275758,-12.1616628,-76.9195077,-12.1930411,3.5976251635218826
35,-76.9195077,-12.1930411,-76.9275758,-12.1616628,3.5976251635218826
35,-76.9195077,-12.1930411,-76.8939302,-12.2410447,6.018160642784113
35,-76.8939302,-12.2410447,-76.9195077,-12.1930411,6.018160642784113
